cv_factor,R_m,A,P,T,E,E2,E_over_Eb_at_pulse_end_P,N_min_P,max_H_over_N_P
0.8,0.25,2.0,O,O,O,O,1.754777048903,0.864724108,0.245825099
0.9,0.25,2.0,O,O,O,O,2.191732711263,0.864724108,0.245825099
1.0,0.25,2.0,O,O,O,O,2.676938615047,0.864724108,0.245825099
0.8,0.5,2.0,O,O,O,O,1.169205903125,0.884976309,0.248543263
0.9,0.5,2.0,O,O,O,O,1.427604022945,0.884976309,0.248543263
1.0,0.5,2.0,O,O,O,O,1.711093884306,0.884976309,0.248543263
0.8,1.0,2.0,S,S,S,S,0.642633730373,0.900876765,0.250137058
0.9,1.0,2.0,S,S,S,S,0.777410194240,0.900876765,0.250137058
1.0,1.0,2.0,S,S,S,S,0.924523403127,0.900876765,0.250137058
0.8,2.0,2.0,S,S,S,S,0.334064493401,0.908779703,0.251006090
0.9,2.0,2.0,S,S,S,S,0.402448259781,0.908779703,0.251006090
1.0,2.0,2.0,S,S,S,S,0.476920339315,0.908779703,0.251006090
0.8,4.0,2.0,S,S,S,S,0.170007519018,0.910658740,0.251461070
0.9,4.0,2.0,S,S,S,S,0.204404812250,0.910658740,0.251461070
1.0,4.0,2.0,S,S,S,S,0.241823713076,0.910658740,0.251461070
