R_m,A,outcome,P,T,E,E2,how_P,E_over_Eb_at_pulse_end_P,impacts_in_pulse_P,N_min_P,max_H_over_N_P,contact_label
0.25,1.00,S,S,S,S,S,rest,0.000000000000,0,1.000000000,0.202709900,within contact bounds
0.25,1.01,S,S,S,S,S,rest,0.000000000000,736,0.943144816,0.203215180,within contact bounds
0.25,1.02,S,S,S,S,S,energy after landing,0.000006696812,409,0.945454699,0.203717318,within contact bounds
0.25,1.03,S,S,S,S,S,energy outward,0.000124992122,116,0.940851694,0.204216494,within contact bounds
0.25,1.04,S,S,S,S,S,energy outward,0.000749569236,24,0.943801171,0.204712746,within contact bounds
0.25,1.05,S,S,S,S,S,energy outward,0.002257896032,16,0.940050718,0.205206302,within contact bounds
0.25,1.06,S,S,S,S,S,energy outward,0.010937000093,10,0.943536221,0.205697060,within contact bounds
0.25,1.07,S,S,S,S,S,energy outward,0.023824551700,8,0.944122624,0.206185422,within contact bounds
0.25,1.08,S,S,S,S,S,energy outward,0.026287125928,6,0.950319223,0.206671100,within contact bounds
0.25,1.09,S,S,S,S,S,energy after landing,0.057256464821,5,0.942518046,0.207154492,within contact bounds
0.25,1.10,S,S,S,S,S,energy outward,0.025383431570,4,0.957005613,0.207635493,within contact bounds
0.25,1.11,S,S,S,S,S,energy after landing,0.102936145254,3,0.952479554,0.208114098,within contact bounds
0.25,1.12,S,S,S,S,S,energy after landing,0.146887181761,3,0.947799842,0.208590751,within contact bounds
0.25,1.13,S,S,S,S,S,energy after landing,0.150013760338,3,0.942865541,0.209065080,within contact bounds
0.25,1.14,S,S,S,S,S,energy after landing,0.076377775095,3,0.937539918,0.209537277,within contact bounds
0.25,1.15,S,S,S,S,S,energy after landing,0.055272917271,1,0.967783989,0.210007578,within contact bounds
0.25,1.16,S,S,S,S,S,energy after landing,0.155252680782,1,0.965812486,0.210475987,within contact bounds
0.25,1.17,S,S,S,S,S,energy after landing,0.251571960833,1,0.963025778,0.210942353,within contact bounds
0.25,1.18,S,S,S,S,S,energy outward,0.344483784711,1,0.960303078,0.211406842,within contact bounds
0.25,1.19,S,S,S,S,S,energy outward,0.434207811082,1,0.957673794,0.211869669,within contact bounds
0.25,1.20,S,S,S,S,S,energy outward,0.520936194444,1,0.955132295,0.212330673,within contact bounds
0.25,1.21,S,S,S,S,S,energy outward,0.604838187928,1,0.952673621,0.212789911,within contact bounds
0.25,1.22,S,S,S,S,S,energy outward,0.686063802198,1,0.950293376,0.213247467,within contact bounds
0.25,1.23,S,S,S,S,S,energy outward,0.764746747402,1,0.947987641,0.213703453,within contact bounds
0.25,1.24,S,S,S,S,S,energy outward,0.841006823073,1,0.945752907,0.214157900,within contact bounds
0.25,1.25,S,S,S,S,S,energy outward,0.914951877707,1,0.943586012,0.214610852,within contact bounds
0.25,1.26,S,S,S,S,S,energy outward,0.986679429148,1,0.941484099,0.215062273,within contact bounds
0.25,1.27,O,O,O,O,O,energy outward,1.056278014851,1,0.945008195,0.215512191,within contact bounds
0.25,1.28,O,O,O,O,O,energy outward,1.123828325071,1,0.943182082,0.215960515,within contact bounds
0.25,1.29,O,O,O,O,O,energy outward,1.189404160058,1,0.941365075,0.216407652,within contact bounds
0.25,1.30,O,O,O,O,O,energy outward,1.253073243485,1,0.939556931,0.216853463,within contact bounds
0.25,1.31,O,O,O,O,O,energy outward,1.314897917548,1,0.937757451,0.217297653,within contact bounds
0.25,1.32,O,O,O,O,O,energy outward,1.374935740036,1,0.935966480,0.217740904,within contact bounds
0.25,1.33,O,O,O,O,O,energy outward,1.433239999664,1,0.934183908,0.218182589,within contact bounds
0.25,1.34,O,O,O,O,O,energy outward,1.489860162873,1,0.932409667,0.218623216,within contact bounds
0.25,1.35,O,O,O,O,O,energy outward,1.544842262838,1,0.930643728,0.219062551,within contact bounds
0.25,1.36,O,O,O,O,O,energy outward,1.598229239505,1,0.928886108,0.219500598,within contact bounds
0.25,1.37,O,O,O,O,O,energy outward,1.650061237927,1,0.927136863,0.219937708,within contact bounds
0.25,1.38,O,O,O,O,O,energy outward,1.700375870942,1,0.925396090,0.220373547,within contact bounds
0.25,1.39,O,O,O,O,O,energy outward,1.749208451216,1,0.923663926,0.220808201,within contact bounds
